,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
19,04:45,50.05,50.0,50.01,49.99,49.99,50.0,49.99,50.03,50.02,50.1,49.99,49.98,49.99,49.97,50.0,49.97,50.04,50.03,50.03,50.0,50.0,49.99,50.05,50.02,50.03,50.01,50.0,50.03
20,05:00,49.97,49.99,50.05,49.96,49.95,49.97,49.84,50.03,50.05,50.05,49.96,49.9,49.97,49.95,50.0,49.91,50.06,50.02,50.03,49.98,49.98,49.97,50.05,50.01,50.01,49.97,49.98,50.01
21,05:15,49.94,50.01,50.03,50.02,49.99,49.97,49.82,50.01,50.04,50.02,49.98,49.95,49.98,49.99,50.0,49.82,50.0,50.01,50.03,49.97,49.95,49.99,50.02,49.99,49.98,50.01,49.98,49.99
22,05:30,49.95,50.01,50.03,50.01,49.92,49.99,49.81,50.0,50.01,49.98,49.98,49.98,50.0,49.96,49.97,49.94,49.98,50.0,50.02,49.97,49.95,49.98,50.02,49.99,49.99,50.0,50.01,49.98
23,05:45,49.97,50.01,50.05,50.01,49.93,49.96,49.8,50.0,50.04,50.0,49.98,49.98,50.0,49.89,49.98,50.0,50.0,50.01,50.05,50.0,49.92,50.01,50.01,50.0,49.99,50.01,50.04,50.04
24,06:00,49.99,49.99,50.08,50.04,50.01,50.07,49.95,49.93,50.1,50.0,49.98,49.99,50.01,49.88,49.93,49.94,49.95,50.03,50.05,50.04,49.92,49.95,50.04,49.97,49.95,50.03,50.06,50.04
25,06:15,49.96,49.98,50.03,50.02,50.03,50.07,49.98,49.87,50.04,50.02,49.96,49.97,49.97,49.86,49.94,49.96,49.95,50.0,50.01,50.02,49.96,49.8,49.98,49.9,49.95,49.98,50.01,49.96
26,06:30,49.9,49.96,50.02,50.01,50.0,50.05,49.96,49.86,50.03,50.01,49.94,49.93,49.94,49.86,49.94,49.91,49.87,50.0,50.0,50.02,49.95,49.78,49.97,49.81,49.96,50.02,50.02,50.03
27,06:45,49.82,49.91,50.0,50.0,49.96,50.03,49.93,49.86,50.0,50.0,49.97,49.85,49.97,49.85,49.9,49.93,49.89,49.97,50.0,49.98,49.86,49.75,50.0,49.78,49.97,50.01,50.02,50.01
28,07:00,49.8,49.93,49.95,50.01,50.0,50.04,49.95,49.93,50.04,50.01,50.02,49.93,50.01,49.94,49.96,49.93,49.92,50.0,50.01,49.99,49.83,49.69,49.98,49.88,49.99,50.01,50.03,50.01
29,07:15,49.83,49.85,49.9,49.96,49.98,50.03,49.99,49.87,50.0,50.0,50.02,49.92,50.03,49.94,49.97,49.87,49.87,49.92,49.99,49.98,49.86,49.63,50.0,49.92,50.01,50.01,50.02,50.01
30,07:30,49.88,49.94,50.02,50.02,50.02,50.03,49.96,49.82,49.96,49.98,50.02,49.96,50.0,50.0,49.97,49.88,49.95,49.99,50.01,50.01,49.9,49.98,50.0,49.92,50.0,50.03,50.03,50.02
31,07:45,49.9,49.99,50.02,50.04,50.04,50.03,50.02,49.99,50.01,50.03,50.05,50.02,50.01,50.02,50.01,50.0,50.02,50.03,50.06,50.04,49.91,50.04,50.01,50.01,50.04,50.06,50.06,50.08
32,08:00,50.0,50.01,50.02,50.09,50.04,50.0,49.99,50.01,49.96,50.02,50.05,50.01,50.0,50.03,49.99,49.97,50.02,50.03,50.07,50.04,50.0,50.04,50.01,50.0,50.0,50.05,50.1,50.08
33,08:15,50.01,50.01,50.0,50.06,50.03,49.98,50.01,49.99,50.01,50.03,50.06,50.02,50.0,50.03,50.02,49.95,50.01,50.01,50.06,50.04,50.01,50.03,50.03,50.0,50.04,50.04,50.04,50.05
34,08:30,50.03,50.03,50.01,50.09,50.03,50.0,50.02,49.99,50.03,50.07,50.1,50.04,50.02,50.08,50.04,50.0,50.04,50.04,50.05,50.03,50.03,50.06,50.03,50.0,50.03,50.03,50.03,50.04
